objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,identifier,source,type,format,language,rights,rightsstatement,top_category,sub_category
436,annesiyle.jpeg,,"Mehmet Genç, Annesi Hatice Genç Hanımefendi İle Birlikte",Berk Özkaya,1970,Mehmet Genç'in Annesiyle Çekilen Bir Fotoğrafı,Biyografi;Aile,"Artvin,Arhavi",41.35121,41.30456,MG-437,Tonguç Yücel Genç,Görüntü,image/jpeg,tr,,,Biyografik,Aile Arşivi
437,ailesiyle.jpeg,,"Mehmet Genç Annesi Hatice Genç, Ağabeyi Mithat Genç ve Halası Asiye Toraman İle Birlikte",Berk Özkaya,1970,Mehmet Genç'in Aile Üyeleriyle Çekilen Bir Fotoğrafı,Biyografi;Aile,"Artvin,Arhavi",41.35121,41.30456,MG-438,Tonguç Yücel Genç,Görüntü,image/jpeg,tr,,,Biyografik,Aile Arşivi
438,aile.jpeg,,"Mehmet Genç, Annesi Hatice Genç ve Halası Asiye Toraman Hanımefendilerle Birlikte",Berk Özkaya,1970,Mehmet Genç'in Ailesiyle Çekilen Bir Fotoğrafı,Biyografi;Aile,"Artvin,Arhavi",41.35121,41.30456,MG-439,Tonguç Yücel Genç,Görüntü,image/jpeg,tr,,,Biyografik,Aile Arşivi
435,yeğeniyle.jpeg,,"Mehmet Genç, Yeğeni Tonguç Yücel Genç İle Birlikte",Berk Özkaya,1972,Mehmet Genç'in Yeğeni İle Çekilen Fotoğrafı,Biyografi;Aile,"Artvin,Arhavi",41.35121,41.30456,MG-436,Tonguç Yücel Genç,Görüntü,image/jpeg,tr,,,Biyografik,Aile Arşivi
75,malikanesistemi.pdf,,Osmanlı Maliyesinde Malikâne Sistemi,Mehmet Genç Gönüllüsü,1975,Osmanlı Maliyesinde Malikâne Sistemi,Bildiri;İktisat;Maliye;Vergi;Malikane Sistemi,Ankara,39.9753847,32.75741589,MG-75,"Osman Okyar-Ünal Nalbantoğlu ed., Türkiye İktisat Tarihi Semineri, Metinler/Tartışmalar (8-l0 Temmuz 1973), Hacettepe Üniversitesi Yayınları, 231-296",Döküman,application/pdf,tr,http://www.library.hacettepe.edu.tr/books/,,Akademik,Konferans ve Bildiriler
90,seminer.jpg,,19. Yüzyılın Ortalarında Osmanlı İktisat Politikasında Himayeci Gümrük Telakkisinin Doğuşu,Mehmet Genç Gönüllüsü,1977,19. Yüzyılın Ortalarında Osmanlı İktisat Politikasında Himayeci Gümrük Telakkisinin Doğuşu,Seminer;İktisat;İktisadi Politika;Maliye;Vergi;Dönemler;Modern;Yüzyıllar;19.Yy,"Ankara,Çankaya;Hacettepe Üniversitesi",39.87094089,32.73469016,MG-90,"Hacettepe Üniversitesi, Uluslararası Türkiye İktisadi ve Sosyal Tarih Semineri",Görüntü,image/jpg,tr,https://www.hacettepe.edu.tr,,Akademik,Konferans ve Bildiriler
56,cipolla.pdf,,"Cipolla, Dünya Nüfusunun İktisat Tarihi",Mehmet Genç Gönüllüsü,1980,"Cipolla, Dünya Nüfusunun İktisat Tarihi",Çeviri;İktisat;Kişiler;Carlo M. Cipollo;Mehmet Sırrı Gezgin;Eserleri,İstanbul,41.1292562,28.88335172,MG-56,Ötüken Yayınları,Döküman,application/pdf,tr,,,Akademik,Yazılı Eserler
82,mali.pdf,,18. Yüzyılın İkinci Yarısında Osmanlı İmparatorluğu'ndaki Ticari ve Sınai Faaliyetlerin Hacmi ile Malikâne Sistemine Ait Verilerin Karşılaştırmalı Bir İncelemesi,Mehmet Genç Gönüllüsü,1980,18. Yüzyılın İkinci Yarısında Osmanlı İmparatorluğu'ndaki Ticari ve Sınai Faaliyetlerin Hacmi ile Malikâne Sistemine Ait Verilerin Karşılaştırmalı Bir İncelemesi,Kitap Bölümü;İktisat;İktisadi Faaliyet;Maliye;Yüzyıllar;18.Yy;Malikane;Çeviri,Atina,37.9831,23.7329,MG-82,19. Yüzyılda Balkanlar'da Modernleşme ve Sanayi Devrimi (Yunanca),Döküman,application/pdf,gre,https://www.academia.edu/7838692/18_yya_Ait_Osmanlı_Mali_Verilerinin_İktisadi_Faliyetin_Göstergesi_Olarak_Kullanılabilirliği_Üzerinde_Bir_Çalışma_In_Greek_,,Akademik,Yazılı Eserler
84,seminer.jpg,,1860’larda Osmanlı Sanayisinin Problemleri ve Islah-ı Sanayi Komisyonu,Mehmet Genç Gönüllüsü,1980,1860’larda Osmanlı Sanayisinin Problemleri ve Islah-ı Sanayi Komisyonu,Seminer;İktisat;Sanayii;Yüzyıllar;19.Yy,"İstanbul,Fatih;İstanbul Üniversitesi;Ziraat Bankası",41.01005056,28.96054028,MG-84,"İstanbul Üniversitesi, Siyasal Bilgiler Fakültesi ve Ziraat Bankası, Mithat Paşa Semineri",Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,,Akademik,Konferans ve Bildiriler
85,seminer.jpg,,Osmanlı İmparatorluğunda 1700-1850 Arasında Sanayileşme Politikası ve Dış Ticaret,Mehmet Genç Gönüllüsü,1981,Osmanlı İmparatorluğunda 1700-1850 Arasında Sanayileşme Politikası ve Dış Ticaret,Seminer;İktisat;Sanayii;Sanayii Politikası;Ticaret;İhracat;Yüzyıllar;18.Yy;19.Yy,"İstanbul,Bebek;Boğaziçi Üniversitesi",41.08477323,29.05092188,MG-85,"Boğaziçi Üniversitesi, Sanayileşme ve Dış Ticaret Semineri",Görüntü,image/jpg,tr,http://www.boun.edu.tr,,Akademik,Konferans ve Bildiriler
86,seminer.jpg,,Türkiye İktisat Tarihinde Tanzimatın Yeri,Mehmet Genç Gönüllüsü,1984,Türkiye İktisat Tarihinde Tanzimatın Yeri,Seminer;Tarihçilik;İktisat Tarihçiliği;Tanzimat;Ülkeler;Türkiye,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,MG-86,"İstanbul Üniversitesi, Siyasal Bilgiler Fakültesi, Tanzimat Semineri",Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,,Akademik,Konferans ve Bildiriler
12,gumruk.pdf,,Osmanlı Devletinde İç Gümrük Rejimi,Mehmet Genç Gönüllüsü,1985,Osmanlı Devletinde İç Gümrük Rejimi,Ansiklopedi Maddesi;İktisat;Ticaret;Eserleri,İstanbul,41.1292562,28.88335172,MG-12,"Tanzimat'tan Cumhuriyet'e Türkiye Ansiklopedisi, İletişim Yayınları, 3: 786-790",Döküman,application/pdf,tr,https://iletisim.com.tr,,Akademik,Yazılı Eserler
41,yorum.pdf,,Tarih Araştırmaları Üzerine Yorum,Mehmet Genç Gönüllüsü,1986,Tarih Araştırmaları Üzerine Yorum,Kitap Bölümü;Tarihçilik;Eserleri,Ankara,39.9753847,32.75741589,MG-41,"Sevil Atauz ed., Türkiye'de Sosyal Bilim Araştırmalarının Gelişimi, Türk Sosyal Bilimler Derneği Yayınları, 439-446",Döküman,application/pdf,tr,https://www.academia.edu/7838820/Tarih_Araştırmaları_Oturumu_Üzerine_Yorum,,Akademik,Yazılı Eserler
71,ahi.jpg,,Osmanlı Esnafı ve Devletle İlişkileri,Mehmet Genç Gönüllüsü,1986,Osmanlı Esnafı ve Devletle İlişkileri,Bildiri;Ticaret;Esnaf;Devlet,İstanbul,41.1292562,28.88335172,MG-71,"Ahilik ve Esnaf: Konferanslar ve Seminer, Metinler-Tartışmalar, İstanbul Esnaf ve Sanatkarlar Dernekleri Birliği Yayınları, 113-124",Görüntü,image/jpg,tr,https://www.istesob.org.tr/konu/basin-yayin/akademik-yayinlarimiz/,,Akademik,Konferans ve Bildiriler
42,feasibility.pdf,,A Study of the Feasibility of Using Eighteenth-century Ottoman Financial Records as an Indicator of Economic Activity,Mehmet Genç Gönüllüsü,1987,A Study of the Feasibility of Using Eighteenth-century Ottoman Financial Records as an Indicator of Economic Activity,Kitap Bölümü;İktisat;Yüzyıllar;18.Yy;Eserleri,Cambridge,52.21079386,0.1227536308,MG-42,"Huri İslamoğlu-İnan ed., The Ottoman Empire and the World-Economy, Cambridge University Press, p. 345-373",Döküman,application/pdf,eng,https://www.academia.edu/7838746/_A_study_of_the_feasibility_of_using_eighteenth_century_Ottoman_financial_records_as_an_indicator_of_economic_activity_The_Ottoman_Empire_and_the_world_economy_1987_345_73,,Akademik,Yazılı Eserler
65,kalkinma.pdf,,Kalkınma Meselemize Tarihî Yaklaşım,Mehmet Genç Gönüllüsü,1987,Kalkınma Meselemize Tarihî Yaklaşım,Bildiri;İktisat;İktisadi Büyüme;Kalkınma,İstanbul,41.1292562,28.88335172,MG-65,"İktisadi Kalkınma ve İslam, İslami Araştırma Vakfı Yayınları, 211-221",Döküman,application/pdf,tr,http://isamveri.org/pdfdrg/D013936/1987/1987_GENCM.pdf,,Akademik,Konferans ve Bildiriler
80,entreprises.pdf,,Entreprises d'état et Attitude Politique dans l'Industrie Ottomane au XVIIIe Siècle,Mehmet Genç Gönüllüsü,1987,Entreprises d'état et Attitude Politique dans l'Industrie Ottomane au XVIIIe Siècle,Bildiri;İktisat;Sanayii;Ticaret;Girişimcilik;Yüzyıllar;18.Yy,İstanbul,41.1292562,28.88335172,MG-80,"l' Accession de la Turquie à la Civilisation Indusrielle, Facteurs Internes. Actes du Colloque d'Istanbul, (2-4 December 1985), Editions ISIS, İstanbul-Paris, 5-12.",Döküman,application/pdf,fr,http://www.theisispress.org,,Akademik,Konferans ve Bildiriler
23,review.pdf,,"Katsumi Fukasawa, Toilerie et Commerce du Levant au XVIII Siècle d'Alep à Marseille",Mehmet Genç Gönüllüsü,1988,"Katsumi Fukasawa, Toilerie et Commerce du Levant au XVIII Siècle d'Alep à Marseille, Kitap Değerlendirmesi",Kitap Değerlendirmesi;Ticaret;Akdeniz;Şehirler;Halep;Marsilya;Yüzyıllar;18.Yy;Eserleri,İstanbul,41.1292562,28.88335172,MG-23,Türk-Arab İlişkileri İncelemeleri Yıllığı: 191-196,Döküman,application/pdf,eng,https://www.academia.edu/7838737/Review_Katsumi_FUKASAWA_Toilerie_et_commerce_du_Levant_au_XVIII_siècle_dAlep_à_Marseille_1987,,Akademik,Yazılı Eserler
32,pamuk.pdf,,18. Yüzyılda Türkiye’den Fransa’ya Yapılan Pamuklu İhracatı ile İlgili Bir Araştırma Hakkında Düşünceler,Mehmet Genç Gönüllüsü,1988,18. Yüzyılda Türkiye’den Fransa’ya Yapılan Pamuklu İhracatı ile İlgili Bir Araştırma Hakkında Düşünceler,Makale;Ticaret;İhracat;Pamuk;Ülkeler;Fransa;Eserleri,İstanbul,41.1292562,28.88335172,MG-32,"Türk Dünyasını Araştırmaları Dergisi, 57: 152-156",Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/tda,,Akademik,Yazılı Eserler
34,tokat.pdf,,17-19. Yüzyıllarda Sanayi ve Ticaret Merkezi Olarak Tokat,Mehmet Genç Gönüllüsü,1988,17-19. Yüzyıllarda Sanayi ve Ticaret Merkezi Olarak Tokat,Makale;Ticaret;İktisat;Sanayii;Şehirler;Tokat;Yüzyıllar;17.Yy;19.Yy;Eserleri,İstanbul,41.1292562,28.88335172,MG-34,"Türklük Araştırma Dergisi, 3: 35-56",Döküman,application/pdf,tr,,,Akademik,Yazılı Eserler
31,ilke.pdf,,Osmanlı İktisadî Dünya Görüşünün İlkeleri,Mehmet Genç Gönüllüsü,1989,Osmanlı İktisadî Dünya Görüşünün İlkeleri,Makale;İktisat;İktisadi Düşünce;Eserleri,İstanbul,41.1292562,28.88335172,MG-31,"İstanbul Üniversitesi Edebiyat Fakültesi Sosyoloji Dergisi, 3/1: 175-185",Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/iusosyoloji/issue/533/4903,,Akademik,Yazılı Eserler
68,milletlerarasi.pdf,,Osmanlı İmparatorluğunda Devlet ve Ekonomi,Mehmet Genç Gönüllüsü,1990,Osmanlı İmparatorluğunda Devlet ve Ekonomi,Bildiri;İktisat;Devlet,İstanbul,41.1292562,28.88335172,MG-68,"V. Milletlerarası Türkiye Sosyal ve İktisat Tarihi Kongresi,  21-25 Ağustos 1989, Tebliğler: TTK Yayınları, 13-25",Döküman,application/pdf,tr,https://www.ttk.gov.tr/en/,,Akademik,Konferans ve Bildiriler
29,sanayi.pdf,,18. Yüzyılda Osmanlı Sanayii,Mehmet Genç Gönüllüsü,1991,18. Yüzyılda Osmanlı Sanayii,Makale;İktisat;Sanayii;Yüzyıllar;18.Yy;Eserleri,İstanbul,41.1292562,28.88335172,MG-29,"Toplum ve Ekonomi, 2: 99-124",Döküman,application/pdf,tr,,,Akademik,Yazılı Eserler
109,konferans.jpg,,Osmanlı İktisadi Dünya Görüşünün Klasik İlkeleri ve Temel Değerleri,Mehmet Genç Gönüllüsü,1992,Osmanlı İktisadi Dünya Görüşünün Klasik İlkeleri ve Temel Değerleri,Konferans;İktisat;İktisadi Düşünce,İstanbul,41.1292562,28.88335172,MG-109,Birlik Vakfı,Görüntü,image/jpg,tr,https://www.birlikvakfi.org.tr,,Akademik,Konferans ve Bildiriler
40,industry.pdf,,"Ottoman Industry in the Eighteenth Century: General Framework, Characteristics and Main Trends",Mehmet Genç Gönüllüsü,1994,"Ottoman Industry in the Eighteenth Century: General Framework, Characteristics and Main Trends",Kitap Bölümü;İktisat;Sanayii;Yüzyıllar;18.Yy;Eserleri,New York,40.71973899,-73.98783181,MG-40,"Donald Quataert ed., Manufacturing in the Ottoman Empire and Turkey (1500-1950), State University of New York Press, 59-86 ",Döküman,application/pdf,eng,https://www.academia.edu/7838797/_Ottoman_industry_in_the_eighteenth_century_general_framework_characteristics_and_main_trends_Manufacturing_in_the_Ottoman_Empire_and_Turkey_1500_1950_1994_59_86,,Akademik,Yazılı Eserler
110,konferans.jpg,,"Osmanlı’da Zanaat, Ahlak, İktisat İlişkisi",Mehmet Genç Gönüllüsü,1994,"Osmanlı’da Zanaat, Ahlak, İktisat İlişkisi",Konferans;İktisat;İktisadi Düşünce;Ticaret;Zanaat,İstanbul,41.1292562,28.88335172,MG-110,"Yapı Kredi Kültür Merkezi Salı Toplantıları, Kültür Mirası",Görüntü,image/jpg,tr,https://sanat.ykykultur.com.tr/etkinlikler#,,Akademik,Konferans ve Bildiriler
13,esham.pdf,,Esham,Mehmet Genç Gönüllüsü,1995,Esham,Ansiklopedi Maddesi;İktisat;Maliye;Vergi;;Eserleri,İstanbul,41.1292562,28.88335172,MG-13,"TDV İslam Ansiklopedisi, 11: 376-380",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/esham,,Akademik,Yazılı Eserler
27,guerre.pdf,,L'Économie Ottomane et la Guerre au XVIII e Siècle,Mehmet Genç Gönüllüsü,1995,L'Économie Ottomane et la Guerre au XVIII e Siècle,Makale;İktisat;Devlet;Savaş;Yüzyıllar;18.Yy;Eserleri,İstanbul,41.1292562,28.88335172,MG-27,"Turcica, 27: 177-196",Döküman,application/pdf,fr,https://www.academia.edu/7914628/LÉconomie_ottomane_et_la_guerre_au_XVIII_e_siècle_Turcica_1995_27_177_196,,Akademik,Yazılı Eserler
39,ahlak.pdf,,"Osmanlı’da Zanaat, Ahlâk ve İktisat İlişkisi",Mehmet Genç Gönüllüsü,1995,"Osmanlı’da Zanaat, Ahlâk ve İktisat İlişkisi",Kitap Bölümü;İktisat;İktisadi Düşünce;Ticaret;Zanaat;Eserleri,İstanbul,41.1292562,28.88335172,MG-39,"Anatomi Dersleri: Osmanlı Kültürü, Yapı Kredi Yayınları, 106-145 ",Döküman,application/pdf,fr,https://www.yapikrediyayinlari.com.tr,,Akademik,Yazılı Eserler
76,bildiri.jpg,,Aya Mavra in the Beginning of the Eighteenth Century,Mehmet Genç Gönüllüsü,1996,Aya Mavra in the Beginning of the Eighteenth Century,Bildiri;Şehirler;Aya Mavra;Yüzyıllar;18.Yy,"Yunanistan,Atina",38.03419954,23.74015979,MG-76,"From the Local to Global History. The Xemple of Lefkada, 15-19th centuries, Proceedings of IV Conference of Ionian Islands Civilization (Aya Mavra 8-12 Sept. 1993), Conference dedicated to Panos G. Rontoyannis, 65-74",Görüntü,image/jpg,gre,,,Akademik,Konferans ve Bildiriler
87,seminer.jpg,,Osmanlı İktisadi ve Sosyal Tarihinin Kaynağı Olarak Özel Muhasebe Defterleri,Mehmet Genç Gönüllüsü,1996,Osmanlı İktisadi ve Sosyal Tarihinin Kaynağı Olarak Özel Muhasebe Defterleri,Seminer;Tarihçilik;İktisat Tarihçiliği;Kaynaklar;Arşiv,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,MG-87,"İstanbul Üniversitesi Edebiyat Fakültesi, Türk Tarihinin Kaynakları Semineri",Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,,Akademik,Konferans ve Bildiriler
62,fetih.pdf,,Fethin İktisadi Sonuçları,Mehmet Genç Gönüllüsü,1997,İstanbul’un Fethi: İktisadi Sonuçları,Bildiri;İktisat;Devlet;Fetih;Şehirler;İstanbul,İstanbul,41.1292562,28.88335172,MG-62,"İkinci Uluslararası İstanbul’un Fethi Konferansı, 30-31 Mayıs, 1 Haziran 1997, Bildiriler: İBB Kültür İşleri Daire Başkanlığı Yayınları, 199-203",Döküman,application/pdf,tr,https://www.ibb.istanbul/CorporateUnit/Detail/23,,Akademik,Konferans ve Bildiriler
63,fetihkapanis.pdf,,İkinci Uluslararası İstanbul’un Fethi Konferansı,Mehmet Genç Gönüllüsü,1997,Genel Değerlendirme,Bildiri;Değerlendirme,İstanbul,41.1292562,28.88335172,MG-63,"İkinci Uluslararası İstanbul’un Fethi Konferansı, 30-31 Mayıs, 1 Haziran 1997, Bildiriler: İBB Kültür İşleri Daire Başkanlığı Yayınları, 310-313",Döküman,application/pdf,tr,https://www.ibb.istanbul/CorporateUnit/Detail/23,,Akademik,Konferans ve Bildiriler
66,neden.pdf,,Neden Fetih?,Mehmet Genç Gönüllüsü,1997,Neden Fetih?,Bildiri;Devlet;Fetih;Şehirler;İstanbul,İstanbul,41.1292562,28.88335172,MG-66,"Birinci Uluslararası İstanbul’un Fethi Konferansı, 24-25 Mayıs 1996, Bildiriler: İBB Kültür İşleri Daire Başkanlığı Yayınları, 96-98",Döküman,application/pdf,tr,http://isamveri.org/pdfdrg/D069512/1997/1997_GENCM.pdf,,Akademik,Konferans ve Bildiriler
67,degerlendirme.pdf,,Birinci Uluslararası İstanbul’un Fethi Konferansı,Mehmet Genç Gönüllüsü,1997,Genel Değerlendirme,Bildiri;Değerlendirme,İstanbul,41.1292562,28.88335172,MG-67,"Birinci Uluslararası İstanbul’un Fethi Konferansı, 24-25 Mayıs 1996, Bildiriler: İBB Kültür İşleri Daire Başkanlığı Yayınları, 219-222",Döküman,application/pdf,tr,http://isamveri.org/pdfdrg/D069512/1997/1997_GENCM.pdf,,Akademik,Konferans ve Bildiriler
78,ticaret.pdf,,XV. ve XVI Yüzyıllarda Osmanlı Devleti’nin İç ve Dış Ticareti,Mehmet Genç Gönüllüsü,1997,XV. ve XVI Yüzyıllarda Osmanlı Devleti’nin İç ve Dış Ticareti,Bildiri;Ticaret;İhracat;İç Ticaret;Dönemler;Klasik;Yüzyıllar;15.Yy;16.Yy,İstanbul,41.1292562,28.88335172,MG-78,"XV. ve XVI. Asırları Türk Asrı Yapan Değerler, 395-408",Döküman,application/pdf,tr,,,Akademik,Konferans ve Bildiriler
14,osmanli.pdf,,18. Yüzyılda Osmanlı Sanayiinde Değişmeler ve Devletin Rolü,Mehmet Genç Gönüllüsü,1999,18. Yüzyılda Osmanlı Sanayiinde Değişmeler ve Devletin Rolü,Ansiklopedi Maddesi;İktisat;Sanayii;18.Yy;Eserleri,Ankara,39.9753847,32.75741589,MG-14,"Güler Eren ed. Osmanlı Ansiklopedisi, 3: 263-268",Döküman,application/pdf,tr,https://yeniturkiye.com,,Akademik,Yazılı Eserler
340,solak.jpg,,Cogito Dergisinden,Mehmet Genç Gönüllüsü,1999,Cogito Dergisinden,Biyografi,İstanbul,41.1292562,28.88335172,MG-340,Halil Solak twitter hesabından,Görüntü,image/jpg,tr,https://twitter.com/hhalilsolak/status/515254943834730498,,Biyografik,Hayat Hikayesi
15,iltizam.pdf,,İltizam,Mehmet Genç Gönüllüsü,2000,İltizam,Ansiklopedi Maddesi;İktisat;Maliye;Vergi;Eserleri,İstanbul,41.1292562,28.88335172,MG-15,"TDV İslam Ansiklopedisi, 22: 154-158",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/iltizam--vergi,,Akademik,Yazılı Eserler
48,reforms.pdf,,State and the Economy in the Age of Reforms: Continuity and Change,Mehmet Genç Gönüllüsü,2000,State and the Economy in the Age of Reforms: Continuity and Change,Kitap Bölümü;İktisat;Devlet;Reform;Eserleri,Leiden,52.16014932,4.491806876,MG-48,"Kemal H. Karpat ed., Ottoman Past and Today’s Turkey, Brill, Leiden, Boston, Köln, 180-187.",Döküman,application/pdf,tr,https://www.academia.edu/7838803/Genç_Mehmet_State_and_the_Economy_in_the_Age_of_Reforms_Continuity_and_Change_2000,,Akademik,Yazılı Eserler
50,devlet.pdf,,Osmanlı İmparatorluğu'nda Devlet ve Ekonomi,Mehmet Genç Gönüllüsü,2000,Osmanlı İmparatorluğu'nda Devlet ve Ekonomi,Kitap;İktisat;Devlet;Eserleri,İstanbul,41.1292562,28.88335172,MG-50,Ötüken Yayınları,Döküman,application/pdf,tr,https://www.otuken.com.tr,,Akademik,Yazılı Eserler
443,Erol Özvar Mehmet Genç Belgeden Modele Bir Por.pdf,,Mehmet Genç: Belgeden Modele Uzanan Bir Portre,Mehmet Genç Gönüllüsü,2000,Erol Özvar tarafından yazılan makale. Bu yazı Dört Sima kitabında da yayınlanmıştır. ,Makale;Doğu Batı;Erol Özvar,Ankara,39.9753847,32.75741589,MG-444,Doğu Batı Dergisi,Döküman,application/pdf,tr,https://www.dogubati.com/dogu-bati-dergisi/yayimlanmis-sayilar/say-12-akademidekiler,,Akademik,Yazılı Eserler
38,commerce.pdf,,Contrôle et Taxation du Commerce du Café dans l’Empire Ottoman fin XVIIe—Première Moitié du XVIIIe Siècle,Mehmet Genç Gönüllüsü,2001,Contrôle et Taxation du Commerce du Café dans l’Empire Ottoman fin XVIIe—Première Moitié du XVIIIe Siècle,Kitap Bölümü;İktisat;Maliye;Vergi;Ticaret;Kahve;Yüzyıllar;17.Yy;18.Yy;Eserleri,"Mısır,Kahire",30.28545304,31.24917571,MG-38,"Michel Tuchscherer ed. Le Commerce du Café: Avant l’ére des Plantations Coloniales Espaces, Réseaux, Sociétés (XVe-XIXe Siécle): 161-179",Döküman,application/pdf,fr,https://www.academia.edu/7838756/_Contrôle_et_taxation_du_commerce_du_café_dans_l_Empire_ottoman_fin_XVIIe_première_moitié_du_XVIIIe_siècle_le_commerce_du_café_avant_l_ére_des_plantations_coloniales_espaces_réseaux_sociétés_XVe_XIXe_siécle_2001_161_179,,Akademik,Yazılı Eserler
81,muzakere.pdf,,"Mustafa Özel, Türkiye’de İktisadî Modernleşme Sürecine",Mehmet Genç Gönüllüsü,2001,"Mustafa Özel, Türkiye’de İktisadî Modernleşme Sürecine",Müzakere;İktisat;İktisadi Modernleşme;Ülkeler;Türkiye;Kişiler;Mustafa Özel,İstanbul,41.1292562,28.88335172,MG-81,"Yorum, Modernleşme, İslam Dünyası ve Türkiye, 321-327",Döküman,application/pdf,tr,,,Diğer,Genel
332,turkishstudies.pdf,,"Kitap Değerlendirmesi, Erol Özvar",Mehmet Genç Gönüllüsü,2001,Osmanlı İmparatorluğu’nda Devlet ve Ekonomi isimli kitap hakkında Erol Özvar'ın değerlendirmesi,Kitap Değerlendirmesi;Erol Özvar,İstanbul,41.1292562,28.88335172,MG-332,Turkish Studies Association Bulletin,Döküman,application/pdf,eng,https://turkishstudies.net/turkishstudies.jsp,,Akademik,Yazılı Eserler
16,malikane.pdf,,Malikane,Mehmet Genç Gönüllüsü,2003,Malikane,Ansiklopedi Maddesi;İktisat;Maliye;Vergi;Eserleri,İstanbul,41.1292562,28.88335172,MG-16,"TDV İslam Ansiklopedisi, 27: 516-518",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/malikane,,Akademik,Yazılı Eserler
17,malikanedivani.pdf,,Malikane Divani,Mehmet Genç Gönüllüsü,2003,Malikane Divani,Ansiklopedi Maddesi;İktisat;Maliye;Vergi;Eserleri,Ankara,39.9753847,32.75741589,MG-17,"TDV İslam Ansiklopedisi, 27: 518-519",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/malikane-divani,,Akademik,Yazılı Eserler
28,talid.pdf,,Osmanlı’da Devlet ve Ekonomi Üzerine,Mehmet Genç Gönüllüsü,2003,Osmanlı’da Devlet ve Ekonomi Üzerine,Makale;İktisat;Devlet;Eserleri,İstanbul;Türkiye Araştırmaları Literatür Dergisi,41.1292562,28.88335172,MG-28,"Türkiye Araştırmaları Literatür Dergisi, 1/1: 369-384",Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/talid/issue/43380/528513,,Akademik,Yazılı Eserler
331,literatur.pdf,,"Kitap Değerlendirmesi, Anonim",Mehmet Genç Gönüllüsü,2003,Osmanlı İmparatorluğu’nda Devlet ve Ekonomi isimli kitap hakkında anonim bir değerlendirme,Kitap Değerlendirmesi;Fehmi Yılmaz,İstanbul,41.1292562,28.88335172,MG-331,Literatür Dergisi,Döküman,application/pdf,tr,https://www.talid.org/,,Akademik,Yazılı Eserler
47,gezinti.pdf,,İktisat Tarihi Bakımından Osmanlı Arşivinde Kısa Bir Gezinti,Mehmet Genç Gönüllüsü,2004,İktisat Tarihi Bakımından Osmanlı Arşivinde Kısa Bir Gezinti,Kitap Bölümü;İktisat;Tarihçilik;Kaynaklar;Arşiv;Eserleri,İstanbul,41.1292562,28.88335172,MG-47,"Ertan Eğribel, Ufuk Özcan ed., Sosyoloji Yıllığı, Kitap 11, Baykan Sezer’e Armağan: Baykan Sezer ve Türk Sosyolojisi, 287-294",Döküman,application/pdf,tr,https://www.academia.edu/7838874/İktisat_Tarihi_Bakımından_Osmanlı_Arşivinde_Kısa_Bir_Gezinti,,Akademik,Yazılı Eserler
172,konferans.jpg,,Osmanlıda Kayıt ve Yazışmanın Önemi,Mehmet Genç Gönüllüsü,2004,Osmanlıda Kayıt ve Yazışmanın Önemi,Konferans;Devlet;Bürokrasi;Kayıt ve Yazışma,"Ankara,Yeni Mahalle;Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü",39.96639637,32.78420745,MG-172,Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü,Görüntü,image/jpg,tr,https://www.nvi.gov.tr,,Akademik,Konferans ve Bildiriler
18,nazir.pdf,,Nazır,Mehmet Genç Gönüllüsü,2006,Nazır,Ansiklopedi Maddesi;Devlet;Bürokrasi;Yönetim;Eserleri,İstanbul,41.1292562,28.88335172,MG-18,"TDV İslam Ansiklopedisi, 32: 449-450",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/nazir#2-osmanlilarda,,Akademik,Yazılı Eserler
19,mukataa.pdf,,Mukataa,Mehmet Genç Gönüllüsü,2006,Mukataa,Ansiklopedi Maddesi;İktisat;Maliye;Vergi;Eserleri,İstanbul,41.1292562,28.88335172,MG-19,"TDV İslam Ansiklopedisi, 31: 129-132",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/mukataa,,Akademik,Yazılı Eserler
46,dört.pdf,,Yaptıklarım Yapacaklarımın Yan Ürünüdür,Mehmet Genç Gönüllüsü,2006,Yaptıklarım Yapacaklarımın Yan Ürünüdür,Kitap Bölümü;Tarihçilik;Eserleri,İstanbul,41.1292562,28.88335172,MG-46,"Türk Tarihçiliğinde Dört Sima, Timaş Yayınları, 249-254.",Döküman,application/pdf,tr,http://www.timas.com.tr,,Akademik,Yazılı Eserler
