objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,identifier,source,type,format,language,rights,rightsstatement,top_category,sub_category
358,goksu.jpg,,Mehmet Genç ,Mehmet Genç Gönüllüsü,2021-03-19,Mehmet Genç Esenler Belediyesi'nde,Esenler Belediyesi,"İstanbul,Esenler",41.05210582,28.86376992,MG-358,Mehmet Tevfik Göksu Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/mt_goksu/status/1372824882237612033,,Görsel Arşiv,Fotoğraflar
369,erolgoka.pdf,,Mehmet Genç Hocadan Bana Kalan,Mehmet Genç Gönüllüsü,2021-03-19,Erol Göka tarafından şahsi bloğunda yayınlanan yazı,Vefeyat;Erol Göka,Ankara,39.9753847,32.75741589,MG-369,Erol Göka Blog Sayfası,Döküman,application/pdf,,http://www.erolgoka.net/mehmet-genc-hocadan-bana-kalan/,,Biyografik,Vefeyat ve Anma
413,,OnDWbUneQBk,Dr. Mehmet Genç'in Anısına...,Necmettin Semiz,2021-03-19,Dr. Mehmet Genç'in Anısına...,TV Programı;Dil İnkılabı;Devlet ve Ekonomi;Osmanlı Tarihi;İktisat;Veysi Ateş,"İstanbul,Beyoğlu",41.0412122,28.98386648,MG-413,Habertürk,Video,video/mp4,tr,https://www.youtube.com/watch?v=OnDWbUneQBk,,Görsel Arşiv,Video Kayıtları
6,msak.pdf,,Mehmet Genç'in Ardından: Osmanlı Nasıl Yükseldi?,Mehmet Genç Gönüllüsü,2021-03-20,Vefatının ardından İskender Öksüz tarafından MSAK dergisinde hakkında yazılanlar.,Vefeyat;İskender Öksüz,İstanbul,41.1292562,28.88335172,MG-6,Milli Strateji Araştırma Kurulu,Döküman,application/pdf,tr,https://millidusunce.com/misak/bir-omrun-adandigi-soru-osmanli-nasil-yukseldi/,,Biyografik,Vefeyat ve Anma
8,ulkuyaz.pdf,,Mehmet Genç Hoca'nın Ardından,Mehmet Genç Gönüllüsü,2021-03-21,Vefatının ardından Kenan Eroğlu tarafından Ülkücü Yazarlar Derneği web sitesinde hakkında yazılanlar.,Vefeyat;Kenan Eroğlu,İstanbul,41.1292562,28.88335172,MG-8,Ülkücü Yazarlar Derneği,Döküman,application/pdf,tr,https://www.ulkuyaz.org.tr/kenan-eroglu-mehmet-genc-hocanin-ardindan/,,Biyografik,Aile Arşivi
351,armagan.jpg,,Derin Tarih Programında,Mehmet Genç Gönüllüsü,2021-03-21,Mehmet Genç Derin Tarih Programında,TV Programı;Kişiler;Yavuz Bahadıroğlu;Mustafa Armağan,İstanbul,41.1292562,28.88335172,MG-351,Mustafa Armağan Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/mustafarmagan/status/1372649463718805506/photo/1,,Biyografik,Aile Arşivi
370,serbestiyet.pdf,,Kalanlardan Mehmet Genç,Mehmet Genç Gönüllüsü,2021-03-21,Abdülhamit Kırmızı tarafından Serbestite'te yayınlanan anma yazısı,Vefeyat;Abdulhamit Kırmızı,İstanbul ,41.1292562,28.88335172,MG-370,Serbestiyet,Döküman,application/pdf,,https://serbestiyet.com/haberler/kalanlardan-mehmet-genc-54577/,,Biyografik,Vefeyat ve Anma
419,mgencanı.pdf,,Mehmet Genç Hakkında Anı Tweeti,Berk Özkaya,2021-03-21,Cihan Aktaş'ın paylaştığı Mehmet Genç'in 1956 yılından bir anısı ve sözü,Tweet;Anı;Röportaj,,,,MG-419,X,Döküman,application/pdf,tr,https://x.com/chn_aktas/status/1373691940026339330,,Akademik,Röportaj ve Söyleşiler
347,,G7tmXRpCASk,Bir Alimin Portresi - Selçuk Çiçek ile Asıl Mesele Programı,Mehmet Genç Gönüllüsü,2021-03-22,Bir Alimin Portresi - Selçuk Çiçek ile Asıl Mesele Programı,Tv Programı;Vefeyat;Kişiler;İhsan Ayal;Selçuk Çiçek,,,,MG-347,Camia TV Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=G7tmXRpCASk,,Görsel Arşiv,Video Kayıtları
373,karar.pdf,,Fariza-i Haccı eda eden bir karınca,Mehmet Genç Gönüllüsü,2021-03-23,Şükrü Hanioğlu'nun Karar'da yayınlanan yazısı,Vefeyat;Şükrü Hanioğlu,İstanbul ,41.1292562,28.88335172,MG-373,Karar Gazetesi,Döküman,application/pdf,,https://www.karar.com/fariza-i-hacci-eda-eden-bir-karinca-1610006,,Biyografik,Aile Arşivi
9,yenisafak.pdf,,Mehmet Genç Hoca'nın Ardından Bir Akademi Muhasebesi,Mehmet Genç Gönüllüsü,2021-03-29,Vefatının ardından Yasin Aktay tarafından Yeni Şafak Gazetesi'nde hakkında yazılanlar.,Vefeyat;Yasin Aktay,İstanbul,41.1292562,28.88335172,MG-9,Yeni Şafak,Döküman,application/pdf,tr,https://www.yenisafak.com/yazarlar/yasin-aktay/mehmet-genc-hocanin-ardindan-bir-akademi-muhasebesi-2058043,,Biyografik,Vefeyat ve Anma
327,dailysabah.pdf,,Mehmet Genç: Legendary Turkish Historian of Ottoman Economics,Mehmet Genç Gönüllüsü,2021-03-29,Vefatının ardından Daily Sabah Gazetesinde yayınlanan Hakan Asrlanbenzer'in yazısı,Vefeyat;Hakan Arslanbenzer,İstanbul,41.1292562,28.88335172,MG-327,Daily Sabah,Döküman,application/pdf,tr,https://www.dailysabah.com/arts/portrait/mehmet-genc-legendary-turkish-historian-of-ottoman-economics,,Biyografik,Vefeyat ve Anma
2,MGenc_Aktar_ToplumsalTarih.pdf,,Arşive Ruh Veren Tarihçi: Mehmet Genç,Mehmet Genç Gönüllüsü,2021-04,Vefatının ardından Mustafa Özel tarafından Derin Tarih dergisinde hakkında yazılanlar.,Vefeyat;Mustafa Özel,İstanbul,41.1292562,28.88335172,MG-2,Derin Tarih,Döküman,application/pdf,tr,https://www.derintarih.com/,,Biyografik,Vefeyat ve Anma
3,diken.pdf,,"""Hac Yolunda Bir Karınca"": Mehmet Genç'in Ardından",Mehmet Genç Gönüllüsü,2021-04-01,Vefatının ardından Ayhan Aktar tarafından Toplumsal Tarih dergisinde çıkan yazı,Vefeyat;Ayhan Aktar,İstanbul,41.1292562,28.88335172,MG-3,Diken; Toplumsal Tarih,Döküman,application/pdf,tr,https://www.academia.edu/45669128/Mehmet_Gen%C3%A7in_ard%C4%B1ndan_Toplumsal_Tarih_No_328_Nisan_2021_ss_76_79,,Biyografik,Vefeyat ve Anma
5,kriter.pdf,,İktisat Tarihinde Bir Müctehid: Mehmet Genç,Mehmet Genç Gönüllüsü,2021-04,Vefatının ardından Asım Öz tarafından Kriter dergisinde hakkında yazılanlar.,Vefeyat;Asım Öz,İstanbul,41.1292562,28.88335172,MG-5,Kriter,Döküman,application/pdf,tr,https://kriterdergi.com/iktisat-tarihinde-bir-muctehit-mehmet-genc,,Biyografik,Vefeyat ve Anma
